feature,decision,reasons,raw_unique,bins_used,possible_unique,preserve_ratio,compression_factor,entropy_norm
pslist.nproc,keep,metrics_within_thresholds,105,105,105,1.0,1.0,0.5634949111344502
pslist.nppid,keep,metrics_within_thresholds,48,48,48,1.0,1.0,0.5190073123050564
pslist.avg_threads,transform,low_preserve_ratio|high_compression_factor,22592,386,512,0.75390625,58.52849740932643,0.8432098810308458
pslist.nprocs64bit,drop,constant_feature,1,1,1,1.0,1.0,1.0
pslist.avg_handlers,transform,low_preserve_ratio|high_compression_factor|low_entropy_norm_high_unique,30009,209,512,0.408203125,143.58373205741626,0.7057225544413013
dlllist.ndlls,transform,low_preserve_ratio,1774,430,512,0.83984375,4.125581395348838,0.8159414506137578
dlllist.avg_dlls_per_proc,transform,low_preserve_ratio|high_compression_factor,13330,365,512,0.712890625,36.52054794520548,0.7999558733839494
handles.nhandles,transform,low_preserve_ratio|high_compression_factor,7189,217,512,0.423828125,33.12903225806452,0.7595982834699794
handles.avg_handles_per_proc,transform,low_preserve_ratio|high_compression_factor|low_entropy_norm_high_unique,29752,169,512,0.330078125,176.0473372781065,0.7307957686317256
handles.nport,drop,constant_feature,1,1,1,1.0,1.0,1.0
handles.nfile,transform,low_preserve_ratio|high_compression_factor|low_entropy_norm_high_unique,1093,101,512,0.197265625,10.821782178217822,0.43316236321273
handles.nevent,transform,low_preserve_ratio|high_compression_factor,3322,356,512,0.6953125,9.331460674157304,0.8177864870258066
handles.ndesktop,keep,metrics_within_thresholds,60,60,60,1.0,1.0,0.6624280875547963
handles.nkey,transform,low_preserve_ratio,1060,299,512,0.583984375,3.5451505016722407,0.7672024688849309
handles.nthread,transform,low_preserve_ratio,1149,400,512,0.78125,2.8725,0.8727956649786135
handles.ndirectory,keep,metrics_within_thresholds,104,104,104,1.0,1.0,0.7041268139450781
handles.nsemaphore,transform,low_preserve_ratio,624,442,512,0.86328125,1.411764705882353,0.7973469923194322
handles.ntimer,keep,metrics_within_thresholds,123,123,123,1.0,1.0,0.7453838702889035
handles.nsection,transform,low_preserve_ratio|high_compression_factor|low_entropy_norm_high_unique,612,36,512,0.0703125,17.0,0.6262752278495087
handles.nmutant,keep,metrics_within_thresholds,405,405,405,1.0,1.0,0.8406808847747658
ldrmodules.not_in_load,keep,metrics_within_thresholds,145,145,145,1.0,1.0,0.7895089801293358
ldrmodules.not_in_init,keep,metrics_within_thresholds,180,180,180,1.0,1.0,0.8092464216910374
ldrmodules.not_in_mem,keep,metrics_within_thresholds,145,145,145,1.0,1.0,0.7895867867854146
ldrmodules.not_in_load_avg,transform,low_preserve_ratio|high_compression_factor|low_entropy_norm_high_unique,15444,119,512,0.232421875,129.78151260504202,0.5983356558920351
ldrmodules.not_in_init_avg,transform,low_preserve_ratio|high_compression_factor|low_entropy_norm_high_unique,15577,140,512,0.2734375,111.26428571428572,0.5284157849722646
ldrmodules.not_in_mem_avg,transform,low_preserve_ratio|high_compression_factor|low_entropy_norm_high_unique,15444,120,512,0.234375,128.7,0.5971983310391107
malfind.ninjections,transform,low_preserve_ratio,111,94,111,0.8468468468468469,1.1808510638297873,0.4052976416649532
malfind.commitCharge,transform,low_preserve_ratio,488,94,488,0.19262295081967212,5.191489361702128,0.063477778895545
malfind.protection,transform,low_preserve_ratio,203,94,203,0.4630541871921182,2.1595744680851063,0.409675969217506
malfind.uniqueInjections,transform,low_preserve_ratio|high_compression_factor|low_entropy_norm_high_unique,4452,107,512,0.208984375,41.60747663551402,0.32778636521643384
psxview.not_in_pslist,keep,metrics_within_thresholds,40,40,40,1.0,1.0,0.48112950986746617
psxview.not_in_eprocess_pool,keep,metrics_within_thresholds,2,2,2,1.0,1.0,0.022568703168667884
psxview.not_in_ethread_pool,keep,metrics_within_thresholds,78,78,78,1.0,1.0,0.4418943899437724
psxview.not_in_pspcid_list,keep,metrics_within_thresholds,40,40,40,1.0,1.0,0.48127220495434797
psxview.not_in_csrss_handles,keep,metrics_within_thresholds,78,78,78,1.0,1.0,0.4422737565982476
psxview.not_in_session,keep,metrics_within_thresholds,40,40,40,1.0,1.0,0.48106061802204303
psxview.not_in_deskthrd,keep,metrics_within_thresholds,82,82,82,1.0,1.0,0.4825476873484649
psxview.not_in_pslist_false_avg,transform,low_preserve_ratio|high_compression_factor|low_entropy_norm_high_unique,7781,327,512,0.638671875,23.795107033639145,0.5548446570820458
psxview.not_in_eprocess_pool_false_avg,transform,low_preserve_ratio,159,125,159,0.7861635220125787,1.272,0.011268317127381706
psxview.not_in_ethread_pool_false_avg,transform,low_preserve_ratio|high_compression_factor|low_entropy_norm_high_unique,8346,320,512,0.625,26.08125,0.567835293379793
psxview.not_in_pspcid_list_false_avg,transform,low_preserve_ratio|high_compression_factor|low_entropy_norm_high_unique,7783,210,512,0.41015625,37.06190476190476,0.550616529106666
psxview.not_in_csrss_handles_false_avg,transform,low_preserve_ratio|high_compression_factor|low_entropy_norm_high_unique,9458,322,512,0.62890625,29.372670807453417,0.73113503495035
psxview.not_in_session_false_avg,transform,low_preserve_ratio|high_compression_factor|low_entropy_norm_high_unique,9559,350,512,0.68359375,27.31142857142857,0.731051965549321
psxview.not_in_deskthrd_false_avg,transform,low_preserve_ratio|high_compression_factor|low_entropy_norm_high_unique,9655,332,512,0.6484375,29.08132530120482,0.7308590092265012
modules.nmodules,keep,metrics_within_thresholds,3,3,3,1.0,1.0,0.14893518717453902
svcscan.nservices,keep,metrics_within_thresholds,30,30,30,1.0,1.0,0.34744347879771803
svcscan.kernel_drivers,keep,metrics_within_thresholds,19,19,19,1.0,1.0,0.28582173063131466
svcscan.fs_drivers,keep,metrics_within_thresholds,10,10,10,1.0,1.0,0.0038660702174345973
svcscan.process_services,keep,metrics_within_thresholds,14,14,14,1.0,1.0,0.32624826091756054
svcscan.shared_process_services,keep,metrics_within_thresholds,22,22,22,1.0,1.0,0.276266672668019
svcscan.interactive_process_services,drop,constant_feature,1,1,1,1.0,1.0,1.0
svcscan.nactive,keep,metrics_within_thresholds,34,34,34,1.0,1.0,0.6257817858666852
callbacks.ncallbacks,keep,metrics_within_thresholds,13,13,13,1.0,1.0,0.44011199341681984
callbacks.nanonymous,keep,metrics_within_thresholds,2,2,2,1.0,1.0,0.009929783327334362
callbacks.ngeneric,keep,metrics_within_thresholds,2,2,2,1.0,1.0,0.0018398586124575684
